2021-09-15 00:02:21:437 1010 sec: 174999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:02:31:437 1020 sec: 174999 operations; 0 current ops/sec; est completion in 1 hour 20 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:02:41:437 1030 sec: 174999 operations; 0 current ops/sec; est completion in 1 hour 20 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:02:51:437 1040 sec: 181999 operations; 700 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=7000, Max=59441151, Min=5, Avg=8498.91, 90=10, 99=23, 99.9=38, 99.99=9951] 
2021-09-15 00:03:01:437 1050 sec: 181999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:03:11:437 1060 sec: 181999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:03:21:437 1070 sec: 181999 operations; 0 current ops/sec; est completion in 1 hour 20 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:03:31:437 1080 sec: 188999 operations; 700 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=7000, Max=36896767, Min=5, Avg=5277, 90=9, 99=23, 99.9=27, 99.99=14231] 
2021-09-15 00:03:41:437 1090 sec: 188999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:03:51:437 1100 sec: 188999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:04:01:437 1110 sec: 188999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:04:11:437 1120 sec: 195999 operations; 700 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=7000, Max=40861695, Min=5, Avg=5843.5, 90=9, 99=23, 99.9=38, 99.99=8887] 
2021-09-15 00:04:21:437 1130 sec: 195999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:04:31:437 1140 sec: 195999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
