2021-09-16 06:23:26:855 990 sec: 111999 operations; 0 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:23:36:855 1000 sec: 111999 operations; 0 current ops/sec; est completion in 2 hours 12 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:23:46:856 1010 sec: 111999 operations; 0 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:23:56:855 1020 sec: 111999 operations; 0 current ops/sec; est completion in 2 hours 14 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:24:06:856 1030 sec: 111999 operations; 0 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:24:16:855 1040 sec: 118999 operations; 700 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=7000, Max=66912255, Min=5, Avg=9562.47, 90=8, 99=21, 99.9=26, 99.99=102] 
2021-09-16 06:24:26:856 1050 sec: 118999 operations; 0 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:24:36:856 1060 sec: 118999 operations; 0 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:24:46:855 1070 sec: 118999 operations; 0 current ops/sec; est completion in 2 hours 12 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:24:56:855 1080 sec: 118999 operations; 0 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:25:06:855 1090 sec: 118999 operations; 0 current ops/sec; est completion in 2 hours 14 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:25:16:855 1100 sec: 125999 operations; 700 current ops/sec; est completion in 2 hours 7 minutes [INSERT: Count=7000, Max=63569919, Min=5, Avg=9085.36, 90=5, 99=22, 99.9=34, 99.99=98] 
2021-09-16 06:25:26:856 1110 sec: 125999 operations; 0 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:25:36:856 1120 sec: 125999 operations; 0 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:25:46:855 1130 sec: 125999 operations; 0 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:25:56:855 1140 sec: 125999 operations; 0 current ops/sec; est completion in 2 hours 11 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
